ranking,currentRating,currentGlobalRanking,dataRegion,user
"[12, 1, 1, 6, 3, 43, 1, 1, 374, 2, 1325, 9, 4, 4, 19, 165, 26, 2, 1, 4, 32, 8, 1, 1, 1, 1]",3702.788,1,US,"{'username': 'fjzzq2002', 'profile': {'countryName': None}}"
"[11, 1, 1, 1, 2, 18, 1, 3, 65, 1, 2, 1, 3, 1, 5, 69, 17, 146, 7, 1, 21, 5, 21, 76, 9, 1, 1, 1, 1, 1, 2, 3, 4, 57, 7, 1, 1, 2, 2, 1, 3, 3, 2, 1, 2, 3, 2, 1, 1, 3, 1]",3686.191,2,US,"{'username': 'neal_wu', 'profile': {'countryName': 'United States'}}"
"[2661, 576, 216, 166, 148, 18, 17, 36, 11, 179, 100, 91, 6, 64, 6, 140, 15, 58, 93, 808, 57, 461, 1547, 14, 11, 39, 66, 129, 2, 5, 17, 2, 10, 17, 2, 67, 59, 15, 24, 11, 16, 26, 18, 89, 18, 21, 25, 4, 165, 42, 7, 12, 3, 228, 7, 82, 1, 4, 1, 51, 8, 58, 2, 5, 4, 25, 7, 379, 1, 83, 4, 50, 85, 6, 16, 1, 24, 41, 56, 9, 2, 1, 3, 1]",3644.841,3,US,"{'username': 'Yawn_Sean', 'profile': {'countryName': None}}"
"[1786, 6507, 1582, 2500, 1161, 7563, 2251, 3843, 448, 688, 834, 1621, 5217, 8183, 850, 589, 3008, 5584, 898, 1615, 125, 979, 728, 229, 118, 676, 438, 74, 1234, 29, 16, 492, 323, 376, 482, 974, 1026, 17, 9, 166, 313, 407, 75, 14, 116, 869, 17, 186, 13, 39, 64, 114, 1583, 489, 13, 73, 84, 161, 56, 85, 124, 56, 16, 4, 23, 52, 105, 7, 126, 158, 6, 16, 1, 19, 77, 14, 3, 68, 91, 7, 52, 12, 1, 550, 1, 217, 12, 209, 78, 15, 24, 2, 1, 7, 26, 1, 11, 3, 18, 26, 3, 10, 1, 3, 11, 9, 2]",3611.476,4,CN,"{'username': 'ahmed007boss', 'profile': {'countryName': '中国'}}"
"[230, 46, 270, 21, 127, 8, 119, 99, 9, 49, 9, 215, 57, 17, 38, 21, 58, 15, 16, 28, 7, 63, 6, 89, 39, 11, 6, 27, 108, 13, 73, 30, 3, 39, 5, 18, 12, 9, 4, 1, 1, 2, 2, 4, 2, 2, 10, 4, 44, 1, 27, 8, 35, 1, 5, 37, 443, 23, 5, 11, 22, 3, 6, 5, 203, 4, 24, 8, 4, 34, 24, 9, 3, 23, 9, 8, 156, 21, 6, 9, 2, 10, 6, 8, 15, 31, 8, 2, 9, 28, 3, 63, 3, 45, 11, 8, 37, 1, 7, 1, 13, 30, 40, 10, 5, 7, 23, 28, 9, 1, 7, 36, 7, 10, 41, 10, 119, 4, 2, 16, 3, 25, 14, 17, 277, 18, 19, 89, 5, 40, 33, 7, 1, 2, 63, 24, 2, 2, 2, 3, 1, 7, 40, 3, 108, 1]",3599.473,5,CN,"{'username': 'liming-v', 'profile': {'countryName': '中国'}}"
"[377, 8, 638, 447, 3, 340, 70, 776, 219, 43, 53, 1, 34, 3, 28, 93, 139, 196, 57, 9, 240, 45, 33, 54, 170, 4, 1, 35, 12, 110, 856, 100, 27, 2, 598, 1, 16, 74, 26, 2, 88, 217, 22, 38, 10, 2, 10, 26, 18, 2, 18, 11, 4, 69, 1, 15, 12, 238, 20, 12, 58, 51, 3, 20, 120, 4, 4, 12, 12, 9, 121, 2, 1, 1, 3, 2, 1, 1, 2, 443, 1, 3, 79, 52, 2, 1, 2, 1, 174, 3, 6, 22, 14, 19, 2, 10, 5, 2, 28, 11]",3589.337,6,US,"{'username': 'numb3r5', 'profile': {'countryName': 'Australia'}}"
"[7, 159, 1, 15, 6, 23, 13, 11, 13, 9, 3, 4, 6, 22, 10, 2, 17, 3, 18, 4, 1, 7, 57, 7, 11, 2, 22, 10, 39, 3, 2, 165, 4, 6, 22, 2, 8, 72, 7, 15, 35, 37, 3, 34, 15, 38, 8, 9, 2, 4, 55, 25, 28, 10, 22, 18, 12, 124, 6, 22, 6, 6, 9, 31, 66, 38, 18, 13, 36, 332, 8, 12, 2, 16, 203, 2, 1, 8, 1, 1, 8]",3559.1366818125916,7,CN,"{'username': 'getnaukri', 'profile': {'countryName': ''}}"
"[20, 288, 208, 39, 1888, 265, 42, 69, 29, 380, 84, 43, 7, 8, 249, 21, 68, 62, 82, 38, 184, 10, 37, 44, 4, 412, 17, 30, 56, 15, 24, 2, 54, 162, 44, 75, 130, 14, 81, 459, 31, 49, 23, 48, 258, 44, 99, 646, 89, 45, 8, 23, 14, 30, 8, 30, 32, 43, 48, 103, 316, 56, 22, 112, 34, 65, 314, 7, 66, 26, 185, 159, 42, 16, 1, 5, 19, 5, 83, 141, 16, 5, 24, 15, 184, 5, 64, 31, 3, 99, 23, 30, 5, 29, 26, 4, 10, 29, 27, 11, 1, 11, 11, 7, 14, 4, 38, 235, 2, 23, 5, 48, 4, 1, 12, 139, 14, 45, 2, 6, 7, 3, 4, 4, 1, 15, 5, 10, 55, 2, 54]",3539.254,8,CN,"{'username': 'Allink', 'profile': {'countryName': '中国'}}"
"[27, 5, 31, 7, 9, 10, 281, 51, 17, 89, 3, 1, 5, 4, 1, 275, 5, 29, 31, 21, 10, 17, 30, 176, 1, 5, 432, 18, 14, 18, 24, 41, 7, 416, 44, 45, 5, 21, 3, 11, 27, 50, 81, 33, 8, 61, 10, 228, 35, 113, 20, 23, 11, 10, 53, 70, 17, 108, 7, 4, 12, 2, 80, 10, 13, 17, 18, 19, 9, 103, 47, 48, 1, 24, 14, 51, 3, 97, 18, 18, 54, 26, 30, 8, 2, 71, 22, 44, 2, 6, 2, 5, 10, 13, 7, 9]",3513.227,9,US,"{'username': 'jonathanirvings', 'profile': {'countryName': 'Singapore'}}"
"[495, 534, 431, 46, 36, 203, 801, 1458, 9, 127, 1666, 594, 260, 267, 549, 21, 25, 91, 1, 168, 154, 23, 11, 15, 12, 8, 19, 79, 1, 26, 74, 2, 47, 699, 5, 108, 16, 24, 73, 29, 25, 14, 39, 36, 225, 1, 37, 27, 9, 6, 1, 2, 223, 18, 3, 19, 3, 291, 36, 20, 1, 25, 12, 41, 3, 23, 49, 3, 5, 56, 1, 90, 425, 32, 54, 5180, 1, 27, 37, 1, 194, 4, 7, 47, 2, 7, 3, 7]",3506.396,10,US,"{'username': 'PurpleCrayon', 'profile': {'countryName': None}}"
"[124, 1890, 72, 96, 81, 1588, 33, 15, 49, 29, 53, 235, 28, 241, 1026, 83, 28, 34, 42, 20, 45, 70, 37, 18, 210, 5, 140, 13, 81, 103, 108, 62, 1009, 320, 48, 30, 18, 188, 2, 29, 22, 37, 97, 47, 16, 1, 36, 37, 4, 13, 1, 2, 1, 1, 19, 60, 10, 13, 20, 36, 1]",3499.5468133734294,11,CN,"{'username': 'hankray', 'profile': {'countryName': '中国'}}"
"[17, 3, 4, 39, 6, 1, 3, 14, 2, 2, 15, 9, 31, 4, 42, 6, 5, 17, 1, 4, 204, 4, 5, 1, 10, 1, 7, 8, 73, 35, 34, 4, 23, 39, 12, 9, 472, 12, 133, 14, 12, 9, 1, 3, 5, 11, 5, 4, 15, 7, 2, 4, 57, 3, 22, 19, 11, 1, 24, 6, 23, 9, 17, 19, 4, 24, 52, 3, 147, 6, 52, 5, 40, 11, 25, 4, 6, 2, 3, 5, 3, 16, 8, 41, 48, 3, 29, 2, 159, 29, 51, 3, 426, 3, 58, 1, 65, 11, 4, 53, 19, 5, 5, 5, 5, 9, 19, 6, 173, 2, 36, 4, 42, 3, 34, 4, 3, 15, 9, 2, 2, 8, 2, 2, 4, 5, 1, 12, 59, 3, 22, 6, 25, 39, 47, 12, 9, 32, 10, 45, 4, 31, 13, 4, 7, 14, 9, 222, 1, 160, 73, 20, 13, 7, 8, 4, 3, 8, 12, 29, 3, 61, 14, 5, 125, 2, 4, 6, 4, 16, 17, 4, 32, 9, 31, 1, 24, 20, 17, 2, 44, 4, 27, 6, 11, 2, 18, 4, 2, 11, 31, 42, 2, 6, 14, 10, 114, 12, 15, 6, 15, 7, 438, 16, 15, 259, 15, 10, 51, 13, 5, 3, 2, 7, 3, 3, 58, 1, 1, 295, 11, 13, 21, 76, 1, 456, 22, 4, 1, 4, 25, 25, 3, 7, 5, 16, 14, 17, 17, 8, 23, 22, 3, 8, 5, 1, 12, 1, 21, 18, 10, 8, 1, 1, 50, 91, 4, 25, 48, 22, 4, 1, 64, 4, 1, 53, 13, 9, 27, 8, 13, 35, 20, 86, 17, 12, 9, 20, 8, 6, 25, 2, 10, 60, 14, 2, 6]",3491.947685601129,12,CN,"{'username': 'zhoupeiyun', 'profile': {'countryName': '中国'}}"
